id,sentence
0,Mua hàng chiều ngày 06/03/2023.
0,"Nhận hàng sáng ngày 07/03/2023
Ly màu hồng có hoạ tiết giá 272"
0,"000
Ly màu đen giá 233"
0,"000
Giảm giá được 20"
0,"000
Hôm nay nhận 2 ly này là ly thứ 6 rồi."
0,Nắp cải tiến so với mẫu cũ khá tiện lợi vì chỉ cần bật qua phải + nhấn là mở nắp.
0,Có 1 vấn đề nhỏ là nếu miếng lò xo ở nắp gãy hoặc rỉ sét thì khi mở nắp chắc phải xoay mở luôn nắp bự ra mới uống đc.
0,Chất lượng giữ nhiệt với mình là ổn.
0,Vỏ ly dễ trầy xước nếu bị rơi
0,va đập.
0,Hàng của Look & Look thì đẹp
0,chất lượng.
0,Tiki giao hàng nhanh.
0,Mình đánh giá 5⭐️
0,sẽ mua tiếp những lần sau.
1,Hôm qua mình mua 1 bình về vợ thấy thích quá.
1,Nên đặt thêm cho vợ 1 bình nữa
1,sáng nay đã giao rồi
1,Tiki quá tuyệt vời luôn.
1,Gói hàng chắn chắc
1,shipper thân thiện nữa.
1,Không có chỗ nào chê luôn.
1,"5 sao cho Tiki nha ❤
Nhưng mình hỏi xíu"
1,là bình mình nhận thì nó có hơi hở với không kín.
1,Không biết có thể khắc phục bằng cách nào không?
2,Mua lần thứ 2
2,giữ lạnh cũng tầm được hơn 12 tiếng
2,cái nắp sau 1 thời gian sử dụng sẽ không còn tự bật lên được nữa
2,phải bấm nút rồi mở thủ công
2,lần này sản phầm bị lỗi lúc phun hơn hay sao
2,tạo thành chấm nhỏ li ti trên thân ly hơi xấu 😭
3,Cũng là shop tick xanh uy tín chứ không phải là nơi bán hàng lẻ nào nhỏ cả
3,mà thật sự rất thất vọng khi nhận được hàng
3,sản phẩm đóng không kín nước đổ ra không biết làm cách nào khắc phục
3,giá cả cũng không hề rẻ so với mặt bằng chung sản phẩm
3,nhận lại là sự chăm sóc khách hàng không có tâm trong khi là 1 shop có uy tín
3,nếu sản phẩm đã không tốt sẵn thì tại sao không thẩm định trước khi bán??
3,Thôi coi như là 1 bài học
3,mong shop sẽ có khắc phục chứ như vầy rất thất vọng về sản phẩm
4,Tiki giao hàng nhanh
4,đóng gói cẩn thận.
4,Về thương hiệu LocknLock
4,mình đã sử dụng nhiều
4,thương hiệu khá uy tín về chất lượng
4,mẫu mã.
4,Riêng sản phẩm này thì thiết kế vừa tay
4,chắc
4,mang phong cách tối giản
4,đẹp
4,hữu dụng.
4,Mọi người luôn ủng hộ sản phẩm của LocknLock nhé 👌👌👌
5,Mình mua 2 bình
5,bình đẹp
5,dễ dùng
5,khuyên các bác nên mua thêm ống hút vì những lúc lái xe ko thể ngửa cổ lên tu được
5,nắp bật chắc chắn
5,rơi cái là gẫy.
5,Vẫn tặng shop 5* vì mình thích sản phẩm này
6,Tuyệt vời
6,sản phẩm này đáp ứng đúng 99
6,9% kỳ vọng về chất lượng của mình.
6,Nhưng có một điều nhỏ là khi nhận được hàng thì có vẻ bình đã được nhân viên lắp giúp giăng cao su rồi
6,chắc không sao.
6,Về hình minh họa thì các bạn hoàn toàn có thể xem các comment khác nha
6,y như vậy đó.
6,Đề nghị các bạn đều phải sắm bình giữ nhiệt nha.
7,Tiki giao hàng siêu nhanh.
7,Tối khuya đặt hàng
7,chiều hôm sau đã nhận được.
7,Đúng mẫu
7,đúng màu.
7,Tuy nhiên phần nắm gài ko đc chắc chắn
7,phải ấn mạnh tay mới vào
7,rất nhạy
7,đụng nhẹ nút thôi là bung nắp bật ra rồi.
7,Không biết các bình khác có bị trải nghiệm tương tự ko?
7,Mình đã mua 1 bình thế này từ Katinat
7,rất chắc chắn
7,êm tay.
8,Giao hàng quá nhanh
8,đóng gói chắc chắn.
8,Ly đẹp
8,nhẹ
8,chất lượng dù chưa dùng thử
8,của LocknLock thì tin tưởng.
9,tầm vài năm trước mình cũng đã mua một ly giữ nhiệt của l&l
9,bị mất nên nay mua lại.
9,mình không nhớ tên ly cũ
9,phần nắp của ly này cải tiến rõ rệt so với cái cũ mình đã dùng đặc biệt là tính năng nhấn để mở rất tiện.
9,mình sử dụng tầm lần thứ 3 là đã hoàn toàn không thấy mùi nhựa nữa
9,sờ vào nắp ly cũng không có cảm giác nhựa kém chất lượng.
9,chỉ có điều không hiểu sao phần nắp ly hơi bị vênh như hình :((
10,Giao hàng ko có ống hút
10,h tổng đài cskh báo số lượng có hạn
10,"khi đặt thông tin thì vẫn sáng ko bị ẩn ; 
Khi nhận ko thấy quà tặng"
11,Bình đẹp lắm nha mn
11,chưa dùng nên ko đánh giá đc độ giữ nhiệt
11,bình cầm rất ổn
11,chắc tay.
11,Mình có gói TikiNow nên đặt buổi tối là 8h30 sáng hôm sau nhận hàng luôn
11,chưa bao giờ mua hàng online
11,trải nghiệm tuyệt vời vậy luôn!
12,Bình rất nhẹ
12,giữ nhiệt tốt
12,lớp ngoài nhám cầm rất chắc tay
12,phần nắp có nút bật mở rất thuận tiện
12,đế bình có dán cao su chống ngã.
12,Đóng gói cẩn thận.
12,Rất hài lòng về sản phẩm này
13,Giao hàng nhanh
13,đóng gói cẩn thận nên không bị móp hộp.
13,sản phẩm chính hãng nhìn tổng quan thì ok.
13,chỉ có 1 điểm chưa thích trên sản phẩm là bình thiết kế phần xoay của nắp trong thân bình nên nhìn ko đẹp mắt.
13,Giá cả hợp lý
13,nắp ly kín
13,dùng 1 chạm cũng khá ổn
13,phù hợp đối tượng các bạn làm văn phòng
13,ly giữ lạnh tốt.
13,vẫn bin mồ hôi xung quanh miệng ly.
14,Bình xịn :))).
14,nắp có chốt khóa k sợ đổ nước.
14,k bị rỉ nước.có lỗ thông hơi.
14,đế su k bị thấm nước.
14,giữ nhiệt lạnh chắc tầm 6 tiếng.
14,Vì mình hay uống nước nên bình k đủ nước cho mình uống ^^ nên k biết nó giữ nhiệt đc mấy tiếng
14,mình bỏ nước mát
14,sau 4 tiếng vẫn còn mát.
15,Đã nhận được hàng
15,bình đẹp nha mọi người
15,hàng giao nhanh cực kì.
15,Chưa sài nên không biết giữ lạnh được bao lâu
16,Bình đẹp
16,màu xanh nhám mình khá thích.
16,Có chế độ khóa cho nắp k bị bung ra ở phần nắp ly
16,phiên bản này khá okla.
16,Điểm trừ xíu là thiết kế miệng nhỏ nên cắm ổng hút k được :v
16,đánh giá chung mình vẫn ưng mẫu thiết kế này.
17,thực sự thất vọng về kiện hàng này
17,hàng giao tới thì kiện hàng rách nát
17,có dấu hiệu bị xé ra từ trước
17,vỏ bên trong cũng bị xé rách phần đáy như hình
17,còn về bình thì khi mở khóa nắp ko bật ra
17,dùng tay cố gắng mở cũng ko mở được.
17,quá thất vọng
17,"hy vọng tiki đổi hàng
cập nhật tình hình sau 2 ngày: phải nói là tiki quá uy tín"
17,bộ phận cskh quá tốt ạ.
17,Ngay ngày hôm sau khi mình báo hàng lỗi thì tiki đến lấy liền
17,thực hiện đổi hàng cho mình rất nhanh chỉ trong 2 ngày mình đã nhận được hàng
17,lúc mình nhận dc là tối khuya chủ nhật
17,tính ra tiki đổi sản phẩm cả trong ngày nghỉ luôn.
17,Đúng là khi gặp hàng lỗi thì mới biết bộ phận cskh làm việc nhiệt tình
17,nhanh chóng như v luôn đó.
17,Tin tưởng
17,sẽ ủng hộ tiki nhiều hơn nữa
17,mua dc giá sale chỉ 235k thôi.
17,Ly giữ nhiệt này thấy ko bị ri nước so với những loại khác cùng hãng
17,nên mua nha mn.
18,Mẫu mã đẹp chất lượng như nào để thời gian sử dụng mới rõ ☺️
19,bình đẹp
19,cầm chắc tay
19,nắp chắc chắn
19,giao hàng rất nhanh
19,vừa đặt trưa hôm qua
19,trưa nay đã giao.
19,Còn về thời gian giữ nhiệt mình chưa dùng nên chưa biết là có thể giữ đá được bao lâu
20,chọiiii ôi...bình rất sịn sò luôn.nắp rất chắc..có cả khóa lại sẽ không mở nắp ra được..không dễ tràn.tiki là nhất rồi..mẫu này mới..cả ***
20,*** đều chưa bán..mình mua 2 bình..kèm mã giảm giá chỉ 423k..đặt hàng lúc 0h kém...mà 14h chiều đã nhận❤❤
21,Sản phẩm quá tệ.
21,Đã từng mua vào sản phẩm LocknLock
21,không nghĩ lần này lại tệ hại quá vậy.
21,1.
21,Nút khoá thiết kế chỉ để trang trí.
21,Ở chế độ lock hay unlock vẫn mở được nắp bình.
21,"Và kết quả là balo đầy ngập tràn cafe 😡
2."
21,Nắp bình rất dễ sướt mặt dù không va chạm.
21,3.
21,Thử so sánh với bình giữ nhiệt LocknLock mua được một năm
21,bình giữ nhiệt nắp nhựa cực tốt
21,rất khó trầy sướt
21,nút khoá  ổn định không dễ gì bung.
21,Đổi lại Ly giữ nhiệt này rất thất vọng.
21,Nghi vấn liệu đây có phải hành chính hãng của LocknLock hay không??
21,?
22,Mua bình giữ nhiệt của 2 nhà sx khác nhau
22,locknlock là tốt nhất màu đẹp rồi cầm chắc tay chỉ mỗi tội :k có quai xách  nên cầm đi tới lui rất bất tiện ( lỡ đụng ai hay con nít chạy giỡn thì tui không biết nói sao ).Còn ngoài ra
22,tiền nào của nấy.
23,Không bị mùi tráng qua nước nóng là xài ngon ơ
23,nút mở cũng khá nhạy bấm thích giá cũng ổn.
23,Nhược là hssd không có tiếng việt
23,đọc bản tiếng anh thấy có kha khá lưu ý.
23,Vở ngoài sờ thích còn bền màu ko chắc chờ thời gian nữa mới biết được
24,Bình ở ngoài siêu đẹp nha mn
24,màu này nhìn sang.
24,Mình chưa thử xem giữ nhiệt đc lâu không
24,của LocknLock thì mình rất yên tâm.
24,Có cái nếu bạn nào muốn mua màu trắng thì nên cân nhắc vì sẽ dễ bẩn.
24,Mình thấy có mày hồng
24,xanh bên ngoài cũng rất đẹp á.
25,Bình bị lỗi nút
25,mình chưa chuyển sang phần mở
25,chỉ cần ấn nhẹ thôi là đã mở nắp
25,mong tiki hỗ trợ đổi trả
25,mình hiểu sản phẩm cũng có thể lỗi nên nếu như tiki đổi trả sản phẩm một cách êm đẹp
25,mình sẵn sàng rate 5 sao
25,mua bình mới cho người thân
25,bạn bè!
25,Edit: Tiki đã đổi lại đúng sản phẩm
25,sản phẩm mới đổi trả không có vấn đề gì.
25,Dịch vụ của Tiki nhanh
25,gọn.
25,Bạn tư vấn viên (bạn Toàn) tư vấn nhiệt tình
25,giải đáp thắc mắc của mình.
25,Toàn bộ quá trình tiếp nhận ý kiến
25,xem xét lỗi sản phẩm
25,trả lại cho khách đều nhanh chóng!
26,Đẹp
26,tốt
26,mua được giá khuyến mãi khá rẻ
26,còn được tặng thêm ly nhựa to
27,Bình giữ nhiệt chắc chắn
27,chất lượng
27,chưa sử dụng nên ko biết giữ nhiệt được bao lâu.
27,Ko định mua màu trắng vì sợ mau thấy dơ
27,chưa kịp mua thì đã hết bình màu.
28,Bị trầy một chỗ bị xước hơi buồn tí
28,"thôi chắc do đóng gói 
Rất đệp cái màu này."
28,Kiểu tương nó hồng bánh bèo lắm
28,"không nó sẫm sẫm cũng vừa ý
Nhắn tin để hỏi cách vệ sinh trước khi dùng đây!!"
28,!
29,Hàng được đóng gói cẩn thận.
29,Sản phẩm dẹp như hình giới thiệu.
29,Rất hài longd
30,lần đầu mình nhận bình
30,bị hở nắp như này -> đã gửi yêu cầu đổi bình mới
30,lând đầu đợi 6-7 ngày vẫn k ai qua thu hồi.
30,phải liên hệ lại lần nữa mới có người qua thu hồi
30,sau khi thu hồi thì giao lại cho mình cái bình này ( hình chụp ) thì chẳng khác gì bình lúc đầu
30,hở rất to🥺 hậu quả là chẳng thể giữ nhiệt
30,mình cho cục đá bự bằng 2/3 cái bình vào thì 4 tiếng là tan hết
30,lần đầu mua.
30,hàng qua mạng
30,phải đổi trả🥲 rất tê!
31,giao nhanh
31,hàng ko bị trầy xước gì
31,chưa sử dụng nên ko bt hiệu quả ra sao
31,sẽ đánh giá sau!
32,Tiki gói hàng đẹp cẩn thận
32,giao hàng nhanh sớm hơn dự kiến
32,sản phẩm chính hãng chất lượng tốt
33,Không thể nào diễn tả được quá chất lượng đẹp
33,giữ nhiệt tốt
33,để nước đá ở văn phòng làm việc nhiệt độ 26 đến 28 độ đá viên tủ lạnh 7h30 tới 16h30 vẫn còn
34,Ngoại quan đẹp
34,màu đen nhám không bám vân tay.
34,Logo chi tiết sắc sảo.
34,Chức năng one-touch mượt mà.
34,Tiki
34,update thêm video bên cạnh hình thì mình sẽ up cho mn xem.
34,Chưa biết giữ nhiệt có như thông tin không
34,lúc vặn nắp thì cảm giác rất chặt
34,êm
34,lực ma sát với ron cao su lớn
34,không tạo tiếng kít khó chịu.
34,Trong hộp có kèm hướng dẫn sử dụng tiếng Hàn-Anh-Trung
34,chịu khó xem để biết cách thức đúng khi dùng
34,bảo quản sp.
34,Trừ 1 sao vì không có tiếng Việt
34,làm khách hàng chưa có trải nghiệm tốt với sp.
35,Bình rất đẹp
35,hiện đại
35,sang chảnh.
35,Có nút bấm một nhấn tiện lợi.
35,Giao hàng vẫn hơi lâu.
35,Cần thêm thời gian sử dụng để biết được hiệu quả giữ nhiệt.
36,Ly giao nhanh
36,mẫu mã
36,màu sắc đẹp
36,sau khi qua sử dụng một vài ngày thì thấy ly giữ nhiệt bị tiết nước ra ngoài nắp
36,vành ly
36,khá bất tiện làm cho việc giữ nhiệt không mấy tốt
37,"Đặt 3giờ chiều hôm qua 8g30 sáng nay nhận luôn 
Giao hàng quá tốc độc
Áp mã xong được giá quá rẻ"
37,"bình thì ngon
Chưa thử độ giữ nhiệt nên chưa biết sao"
38,Sản phẩm đóng gói kĩ
38,hộp đựng sản phẩm cứng cáp
38,đẹp.
38,Bình có vỏ ngoài nhám nên cầm thích tay
38,chống thấm nước tốt
38,dễ lau rửa.
38,Bình có màu đẹp
38,xứng đáng với giá tiền.
39,Đặt đêm hôm qua chiều hôm nay đã có rồi.
39,Tiki vẫn luôn giao hàng nhanh chóng.
39,Cảm ơn Tiki.
39,Về ly thì màu rất cưng nha
39,bên ngoài hơi nhám sần cầm thích tay
39,ko bị bám vân tay như loại thân mờ cũ.
39,Version mới nhiều màu để chọn
39,mình nghĩ trắng
39,xanh Navi cũng sẽ rất đẹp.
39,Chưa đựng nước thử
39,chắc khả năng giữ nhiệt vẫn sẽ tốt như mẫu cũ nhỉ.
39,Ly đẹp
39,chắc chắn.
39,?
40,Hìiii :333 mình vừa nhận được hàng nèee.
40,Cốc xinh lắm nha mng uiiii
40,màu trắng nhìn sang
40,xinh lắm ý (mình thì khoái màu đen cơ
40,nma thấy mng bảo mua màu đen về
40,bị xước thì sẽ bị bong sơn hehe).
40,Cốc to lắm
40,to hơn mình nghĩ cơ :3
40,mà to như này mới đựng được nhiều nước chứ
40,đi học không lo khát nước kệkeke :3.
40,Mình cũng có đổ nước vào
40,lắc thử thì không một giọt nước nào bay ra luôn 🤩.
40,"Còn về khả năng giữ nhiệt thì mình cũng chưa dùng nên mình cũng không có rõ :3 hihiii
Kết lại thì cốc xinh"
40,xịn
40,mịn lắmm 😙 mọi người nên mua nhaaaaa 🥰
41,đầu tiên sp mình mua bị lỗi phần khóa nắp
41,bên tiki cũng nhiệt tình hỗ trợ đổi trả
41,xử lý vấn đề cũng khá nhanh
41,khi nhận lại sản phẩm không phải là sản phẩm đổi mới
41,là sản phẩm cũ đã fix bằng cách gọt bớt chỗ phần nắp đậy để cho khít
41,cực kỳ thất vọng với cách làm này của tiki
41,vì mình yêu cầu đổi trả chứ ko phải khắc phục bằng cách này
42,Ly rất đẹp
42,rất xịn.
42,Nhưng đái hơi nhỏ
42,thân hơi cao.
42,Cảm giác sử dụng dễ bị lật( nếu đẩy nhẹ hoặc vô tình chạm).
42,Mong nhà sx cân đối size
43,Giữ nhiệt rất ok.Mở nắp chỉ với 1 nút nhấn nau lẹ.
44,hàng ok
44,nhẹ nhàng
44,có điều tem mác dán trên bình rất dỏm
44,tháo ra dính đầy keo
44,hên nhà có dung dịch tẩy keo chứ ko rất khó chịu
45,Bình màu hồng nhìn cưng xỉu.
45,Bình cầm nặng tay
45,chất liệu thép không gỉ
45,giữ lạnh cực tốt.
45,Nhưng có điều miệng bình còn hở nên thấy nước đọng ngay miệng bình.
46,ly của mình mua khi cho đá vô thì bị như vậy
46,trước mua 2 cái xài rất ok
46,cái này bị rỉ nước
47,Bình nước quá xịn xò
47,"sang chảnh 
Kiểu cầm cái bình thấy thích rồi 
Mọi thứ quá hoàn hảo á"
48,Sản phẩm đẹp
48,độ hoàn thiện tốt
48,mở nắp nhẹ nhàng
48,kín
48,về giữ nhiệt thì mình chưa ***!
48,Mình từng mua sản phẩm bằng inox sơn xanh dạng xoáy mở của locknlock
48,sau 1 thời gian vẫn bị bong sơn nên chuyển qua hàng vỏ nhỏ nhựa này
48,có lẽ nước sơn sẽ bền hơn
48,việc lấy nước cũng nhanh hơn dạng xoáy mở!
49,Giữ nhiệt lâu
49,rất tiện lợi khi sử dụng
49,sản phẩm chắc chắn
49,màu sắc nhã nhặn.
49,Nắp kín
49,có khoá chốt
50,tốt
50,giữ nhiệt ok.
50,theo mình nó là ly giữ nhiệt chứ k phải bình.
50,nắp giữ nhiệt k có dc tốt vì chỉ là nhựa cứng thui.
50,khác với bình giữ nhiệt.
50,nên ai muốn giữ lâu thì nên mua bình
50,mình mua vì miệng rộng bỏ đá pha nước ok.
50,hên mua trúng sp nắp kín k bị chảy nước nha
50,mình coa úp ngược thì nước k bị chảy.
50,nhưng úp ngược
50,lắc mạnh thì bị rĩ vài giọt chứ k nhìu.
51,Nhìn chất lượng
51,chắc chắn
51,đóng gói cẩn thận.
51,5 sao.
52,màu xuất sắc lắm luôn.ly sịn sò lắm nè.nắp mới chắc chắn...mẫu mới mình đặt 0h kém 25/3..trưa 26/3 nhận hàng..có mã km..mua 2 ly giá chỉ 423k.màu hồng ở ngoài xinh hơn..nên mua nhe mn
53,Bình hình thức đẹp.
53,Hiện tại chưa thấy lỗi phải gì.
53,Cái One-touch bản mới này thì mn nhớ là quẹt mở khoá (để chuyển từ trạng thái khoá sang mở) xong phải nhấn vô nữa (này mới tính là touch)  thì nắp mới bật.
53,Đừng *** như mình tưởng chỉ quẹt thôi xong ngồi cả buổi
53,còn định trả hàng ?
53,Chất lượng LocknLock thì k phải bàn
53,giữ nhiệt đỉnh
53,có đế chống trượt
53,màu sắc sang trọng hợp thời trang
54,"xài rất ok giữ nóng đc 6 tiếng
hàn quốc 
không biết nắp xài bền ko
nhưng shipper lại ko cho mở hàng kiểm tra trước nên trừ 1 sao"
55,Sản phẩm chất lượng tốt
55,nhân viên giao hàng rất thiếu tôn trọng
55,chưa tới nơi
55,đã gọi bắt khách ra đợi trước trong khi đó khách đang trong giờ làm việc.
55,do đợi lâu chưa thấy người giao hàng nên tôi có đi làm tiếp tục làm việc
55,nhờ bảo vệ chỗ tôi làm nhận hàng giùm
55,một lúc sau nhân viên giao hàng tới gọi cho tôi với thái độ khó chịu
55,tắt ngang máy
55,rất thiếu tôn trọng.
55,trãi nghiệm giao hàng cực kỳ tệ.
56,Chất liệu & màu sắc rất đẹp
56,bình giữ lạnh rất tốt: đá để từ sáng tới chiều tối vẫn chưa tan.
56,Nút bấm khóa bình không chắc lắm nên bình để nằm ngang khi di chuyển dễ bị đổ
56,mình để trong túi treo lên thì không có vấn đề gì
56,màu hường nhìn siêu xinh luôn
57,- chất liệu vỏ nhám
57,"cầm rất ưng tay
- giữ nhiệt"
57,giữ lạnh tốt
58,Bình đẹp
58,chất lượng tốt
59,hài lòng với chất lượng
59,giá của sản phẩm.
59,Mẫu mã ưng ý
60,mình vừa nhận được bình
60,khi nhận hàng mở ra thì sản phẩm đã bị gãy phần nắp.
60,Mình không biết liên hệ với shop như thế nào.
60,Mình mong nhận được sự hỗ trợ bên phía tiki để được đổi lại sản phẩm hoàn thiện ạ.
60,Mình xin cảm ơn!
60,:(((
61,Bình ổn
61,vừa mở nắp thì thấy ngay khớp
61,1 bên gãy 1 bên cũng ko bình thường.
61,Sửa: có vẻ là nó là như vậy chứ ko phải bị gãy
61,do mình đóng nó ko chặt đc
61,1 bên bị nhếch nhẹ lên nên mình nghĩ nó gãy....để xài xem sao
62,Bình đẹp
62,xài rất tốt.
63,Bình đẹp
63,xài rất tốt.
65,Hàng tốt
65,đó giờ rất tin dùng LocknLock nên sản phẩm của họ chưa làm mình thất vọng bao giờ.
65,Thân nhám
65,cầm chắc tay
65,nút bật nắp chắc chắn nên để mở đc nắp phải ĐẨY
65,ẤN nhẹ nhá mọi ng.
65,Chứ đẩy qua đẩy lại nó sẽ k ra đâu.
66,Ly mua vào đợt sale nên giá khá hời
66,rẻ hơn nhiều so với store ngoài mall.
66,Ly gần 500ml
66,giữ nước đá khá lâu.
66,Mình bỏ đá từ sáng
66,tối về vẫn còn 50% đá.
66,Nắp bật có khóa nên k sợ tràn nước bên trong ra ngoài.
66,Nói chung so với mức giá này để mua là quá ổn
67,mới nhận hàng
67,lúc trước đã từng sử dụng
69,Giao hàng nhanh - đóng gói kỹ - chất lượng tốt
70,Hàng đã nhận được
70,giao hộp cũ quá
70,lỗi trầy sơn
71,Sản phẩm được đóng gói cẩn thận
71,không bị lỗi
72,Mình đã từng mua rồi Lock & Lock chất lượng khá oke giữ nhiệt lâu
72,kín nước
72,Tiki giao hàng khá nhanh trong ngày là có
73,Giao nhanh.
73,Hàng chuẩn.
73,Giá tốt.
73,Trước đây mình dùng loại my cafe tumbler  rất bền
73,tốt
73,chỉ tại con mồn lèo nhà mình làm rơi gãy chốt nắp đậy.
73,Mẫu này màu sắc đẹp
73,cầm chắc tay
73,hi vọng dùng dc lâu ko bị bong lớp sơn
74,Tốt đẹp giữ nhiệt ok
75,Bình rất đẹp nhaa
76,Tiki ship hàng nhanh
76,đóng gói cẩn thận
76,bình chất liệu xịn
76,chắc chắc.
76,Tuy có hơi sứt tí
76,chấp nhận đc
77,Sản phẩm tốt
81,Ly đẹp
81,giữ được nhiệt lâu.
81,Bỏ một ít đá bi hoặc 2 viên đá uống bia nhỏ là để được 7-8h.
81,Ly màu hồng nhạt nhìn hơi cũ nếu màu đậm xíu chắc đẹp hơn.
81,Trừ 1 sao vì không tặng kèm túi đựng ly
81,làm mất nửa ngày trời mai túi 😂😂
82,Chuẩn
82,xịn sò
82,giao nhanh
82,...
83,Nhận hàng sớm hơn dự kiến
83,chất lượng sử dụng trước mắt là OK
83,mẫu mã đẹp.
85,Hàng đẹp.
85,Chất lượng rất tốt
86,Đẹp
86,mình xài nhiều sản phẩm Lock n Lock thì đây là 1 trong những sp mình thích nhất
86,từ thiết kế chất liệu
86,đóng gói
87,Bị bể nắp
87,giữ nhiệt ko đc lâu.
87,Yêu cầu bảo hành
88,Màu sắc không tươi như hình mẫu.
88,Thời gian giữ nhiệt chưa biết.
88,Chất liệu an toàn không thể kiểm chứng.
89,Bình chắc chắn
89,xinh
89,màu kiểu hồng đất ấy.
89,Giữ lạnh khá ổn 1 cục đá to để qua đêm đến 10 sáng hôm sau vẫn còn cục nhỏ nhỏ.
90,SP quá tuyệt vời
90,giao hàng siêu tốc.
90,Giữ lạnh
90,nóng rất OK.
90,Đáng để trải nghiệm
91,Gần 300k
91,ko có nổi cái túi đựng
92,Tuyệt vời nếu nắp màn bên trong bảo vệ bằng thép thì ok luôn 5 sao tại nắp bằng nhựa nên 4 sao nhé
92,nói chung hợp giá tiền  sản phẩm ok giữ lạnh tốt 24h như đã nói trong hướng dẫn
92,2 từ khá good!
93,[QC]Vi VNPAY tang rieng ban ma KHAOTAXI100
93,giam toi 100K khi goi taxi.
93,Khao them 10 chuyen tri gia 350K.Goi Taxi ngay!
93,(tu nay-13/11).CT: https://bit.ly/Taxi100K .
93,De tu choi QC
93,soan TC VI VNPAY gui 1313
94,Bình chắc chắn
94,cầm nặng tay
94,đáy bình bằng cao su để lên mặt bàn khá êm
94,hạn chế tiếng động
94,nắp bình kín ko bị trào nước ra ngoài.
94,Mỗi tội phần miệng bình thiết kế chưa ổn
94,uống ko cẩn thận dễ bị đổ nước ra ngoài miệng
95,chất liệu thép thì tôi không biết
95,nhựa ở nắp là polypropyl
95,không tốt được như HDPE trong gi đông quân đội
95,cũng không quá tệ như các loại nhựa PS
95,nói chung là đủ dùng
95,không bị ảnh hưởng tới sức khoẻ
96,[QC] Because VNPAY mourned the ban of KHAOTAXI100
96,I got 100K when calling a taxi.
96,Want 10 more experts 350K.Goi Taxi now!
96,(Tu today-13/11).CT: https://bit.ly/Taxi100K .
96,To play QC
96,edit TC VI VNPAY guide
97,Mẫu này thì có nút bật nên rất tiện lợi
97,không cần dùng ống hút.
97,Màu sắc thì quá bắt mắt.
97,Đặc biệt bên trong rất đẹp
97,nhìn dáng thon gọn
97,material rất hài lòng.
97,Lại còn đang được giảm giá nữa.
98,Mua bình đợt sale 50% + coupon giảm 100k Yêu bếp nghiện nhà nên giá lúc về tay là 159k á mọi người (chắc không ai mua rẻ được như mình đâu ?
98,).
98,Giữ nóng thì mình chưa thử
98,giữ lạnh thấy ok lắm luôn.
98,Mình có thử đổ nước vào bình rồi dốc ngược
98,nước không bị rỉ nhé
98,còn nếu bạn để đá lạnh đầy bình thì nó sẽ bị đổ mồ hôi chút xíu (này là hiện tượng thoát hơi nước bình thường nha) các bạn nếu để trong balo sợ ướt thì bỏ đá cách miệng bình 3cm là ok.
98,Bình vỏ nhám nên không sợ bẩn
98,bám vân tay
98,bạn nào thích màu trắng thì mạnh dạn đặt nha
98,mình nghĩ màu trắng nhìn sang chảnh lắm luôn
99,Tiki giao hàng nhanh
99,đóng gói cẩn thận
99,bình thiết kế đơn giản
99,đẹp.
99,Có nút mở rất tiện
99,nắp kín nên khi bị dốc ngược nước ko trào ra.
99,Sản phẩm này nên mua!
101,bình màu trắng nhìn ko đẹp
101,ko sang bằng các mầu khác
101,cũng ok.
101,có cái chốt nên cảm giác chắc chắn
102,Sản phẩm giao nhanh
102,dùng chắc chắn
102,giữ nhiệt tốt
102,"có nút khoá mở nắp là điểm cộng
Điểm trừ nhỏ là phần nắp có góc cạnh nên vệ sinh khó sau khi uống nước hoa quả hay bị đọng cặn"
104,Mẫu mã rất đẹp
104,chắc chắn.cầm rất sướng tay
104,tuy nhiên bình vẫn toả nhiệt ở cổ nắp
