ID,Nội dung,Đánh giá,Label,,
1,Tôi chưa rõ cách bật chế độ ban đêm.,5,4,,
2,Có thể kết nối thiết bị với tivi không?,4,4,,
3,Ứng dụng có hoạt động trên iOS không?,3,4,,
4,Làm sao để cài đặt sản phẩm này?,4,4,,
5,Có tài liệu PDF hướng dẫn kg?,3,4,,
6,Hướngdẫnkgđềcậpđếncáchvệsinhsp. 👍,3,4,,
7,Tôi chưa rõ cách sử dụng chức năng chính.,4,4,,
8,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,3,4,,
9,tOi khonG TIm THaY Muc cAi dat trEn uNg DUng.,5,4,,
10,Huong dan khong de cap den cach ve sinh san pham.,3,4,,=
11,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm. ạ,4,4,,
12,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,5,4,,
13,Có thể gửi hướng dẫn chi tiết qua email không?,3,4,,
14,Hướng dẫn lắp đặt không rõ ràng.,4,4,,
15,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,5,4,,
16,Hướng dẫn cài đặt phần mềm quá phức tạp.,5,4,,
17,Có bản hướng dẫn sử dụng bằng tiếng Việt không?,3,4,,
18,ỨNGDỤNGKHÔNGHIỂNTHỊĐÚNGNHƯHƯỚNGDẪN.,4,4,,
19,"Hướng dẫn sử dụng quá ngắn, thiếu chi tiết.",3,4,,
20,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,4,4,,
21,Ứng dụng yêu cầu quyền truy cập gì? ạ,4,4,,
22,Làmsaođểcàiđặtsảnphẩmnày? ???,3,4,,
23,Có thể sử dụng sản phẩm khi đang sạc không?,3,4,,
24,Có bản hướng dẫn sử dụng bằng tiếng Việt không?,3,4,,
25,CóbảnhướngdẫnsửdụngbằngtiếngViệtkhông?,5,4,,
26,Làm sao để cài đặt sản phẩm này? 👍,5,4,,
27,Hướng dẫn thiếu phần kết nối Wi-Fi.,5,4,,
28,Cóthểsửdụngspkhiđangsạcko?,4,4,,
29,Tôi cần trợ giúp cài đặt bước đầu tiên.,4,4,,
30,Làm sao để ghép nối với loa ngoài?,3,4,,
31,San pham co can cai driver khong?,5,4,,
32,Có thể dùng chung tài khoản cho nhiều thiết bị không?,4,4,,
33,Có cần cập nhật firmware trước khi sử dụng không?,5,4,,
34,Ứng dụng không hiển thị đúng như hướng dẫn.,5,4,,
35,Tôi muốn biết cách sử dụng chức năng nâng cao.,5,4,,
36,Có thể kết nối thiết bị với tivi không?,3,4,,
37,Có cách nào sử dụng không cần ứng dụng không?,4,4,,
38,Tôi muốn biết cách update phần mềm.,5,4,,
39,Cách bảo trì sản phẩm này như thế nào?,5,4,,
40,Tôi không hiểu các nút chức năng trên máy.,4,4,,
41,Có thể gửi hướng dẫn chi tiết qua email ko?,4,4,,
42,CÓ cẦN TạO TÀi KhoảN MỚI ĐỂ SỬ dụNg KHônG? 👍,3,4,,
43,Làm thế nào để kiểm tra pin?,4,4,,
44,Hướng dẫn kg đề cập đến cách vệ sinh sp.,3,4,,
45,Toi muon biet cach su dung chuc nang nang cao.,3,4,,
46,"Hướngdẫnsửdụngquángắn,thiếuchitiết.",5,4,,
47,Ứng Dụng Có cẦN ĐĂnG nhập kO?,5,4,,
48,Có hướng dẫn sử dụng online không?,4,4,,
49,Ứng dụng có cần đăng nhập không?,3,4,,
50,Tôi chưa rõ cách sử dụng chức năng chính.,3,4,,
51,Có thể dùng chung tài khoản cho nhiều thiết bị không?,3,4,,
52,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,3,4,,
53,Có cần tạo tài khoản mới để sử dụng không?,3,4,,
54,CÓ VIDEO HƯỚNG DẪN SỬ DỤNG KG?,5,4,,
55,Có cần cập nhật firmware trước khi sử dụng không?,5,4,,
56,Có video hướng dẫn sử dụng không?,4,4,,
57,Có video hướng dẫn sử dụng không?,5,4,,
58,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,5,4,,
59,Tôi ko rõ cách thay pin cho thiết bị.,4,4,,
60,Thiet bi co che do tiet kiem pin khong?,3,4,,
61,Co the ket noi thiet bi voi tivi khong?,3,4,,
62,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,3,4,,
63,cÓ thể Sử Dụng sp khi đAng SẠc KHÔnG?,3,4,,
64,Sách hướng dẫn hơi khó hiểu.,4,4,,
65,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,5,4,,
66,CÓ NÚT NÀO ĐỂ KHÔI PHỤC CÀI ĐẶT GỐC KHÔNG?,5,4,,
67,Làm thế nào để kiểm tra pin?,4,4,,
68,có VidEo HướNg DẫN SỬ DụNG khÔNg?,3,4,,
69,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,5,4,,
70,Làm sao để ghép nối với loa ngoài?,5,4,,
71,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,4,4,,
72,Ứng dụng có hoạt động trên iOS không?,3,4,,
73,tÔI GẶp khÓ kHĂn Khi bẬT nGUỒn THIẾT Bị.,3,4,,
74,Tôi không hiểu các nút chức năng trên máy.,4,4,,
75,Không rõ cách kết nối Bluetooth.,3,4,,
76,Làm thế nào để reset thiết bị về mặc định?,5,4,,
77,Tôicầnhướngdẫnchitiếttừngbước.,4,4,,
78,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,4,4,,
79,Tôi cần trợ giúp cài đặt bước đầu tiên.,5,4,,
80,Có nút nào để khôi phục cài đặt gốc không?,4,4,,
81,Ứng dung co hoat dong tren iOS khong? sốp ơi cứu em,4,4,,
82,Có cần tạo tài khoản mới để sử dụng không?,4,4,,
83,Làm sao để cài đặt sản phẩm này? 😭,5,4,,
84,Tôi chưa rõ cách sử dụng chức năng chính. ơi cứu em,4,4,,
85,Có video hướng dẫn sử dụng không? ơi cứu em,3,4,,
86,Tôi gặp khó khăn khi bật nguồn thiết bị.,4,4,,
87,Không rõ cách kết nối Bluetooth.,5,4,,
88,Có bản demo sử dụng kg?,4,4,,
89,Tôi không biết cách bật chế độ an toàn.,3,4,,
90,CÓ THỂ KẾT NỐI THIẾT BỊ VỚI TIVI KG?,5,4,,
91,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,4,4,,
92,Hướng dẫn ko đề cập đến cách vệ sinh sp.,5,4,,
93,Có cách nào sử dụng không cần ứng dụng không?,4,4,,
94,HướngdẫnthiếuphầnkếtnốiWi-Fi.,5,4,,
95,Ứng dụng có cần đăng nhập không?,4,4,,
96,Tôi không hiểu các nút chức năng trên máy.,4,4,,
97,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,3,4,,
98,Làm sao để cài đặt sản phẩm này?,4,4,,
99,Ứng dụng có cần đăng nhập không?,4,4,,
100,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,5,4,,
101,Tôi không biết cách điều chỉnh âm lượng.,3,4,,
102,Có bản demo sử dụng không?,5,4,,
103,Sản phẩm có cần cài driver không?,5,4,,
104,Làm sao để ghép nối với loa ngoài?,3,4,,
105,Co can tao tai khoan moi de su dung khong?,5,4,,
106,Ứng dụng không hiển thị đúng như hướng dẫn.,4,4,,
107,Tôi không tìm thấy mục cài đặt trên ứng dụng.,5,4,,
108,Sản phẩm có cần cài driver không?,4,4,,
109,Cách bảo trì sản phẩm này như thế nào? ạ,5,4,,
110,Có thể gửi hướng dẫn chi tiết qua email không?,3,4,,
111,Làm sao để cài đặt sản phẩm này?,3,4,,
112,Ứng dụng kg hiển thị đúng như hướng dẫn.,5,4,,
113,Sản phẩm có cần cài driver không?,5,4,,
114,TOICANTROGIUPCAIDATBUOCDAUTIEN.,4,4,,
115,Ứng dụng có hoạt động trên iOS không?,4,4,,
116,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,5,4,,
117,Có thể gửi hướng dẫn chi tiết qua email không?,3,4,,
118,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,3,4,,
119,Hướng dẫn không đề cập đến cách vệ sinh sp.,5,4,,
120,Ứng dụng yêu cầu quyền truy cập gì?,5,4,,
121,HUONG DAN KHONG DE CAP DEN CACH VE SINH SAN PHAM.,3,4,,
122,Làm thế nào để kiểm tra pin? 👍,5,4,,
123,Có cần cập nhật firmware trước khi sử dụng không?,5,4,,
124,Tôimuốnbiếtcáchsửdụngchứcnăngnângcao.,3,4,,
125,Ứng dụng yêu cầu quyền truy cập gì?,5,4,,
126,Tôi không hiểu các nút chức năng trên máy.,4,4,,
127,Làm thế nào để reset thiết bị về mặc định?,5,4,,
128,"HƯỚNG DẪN SỬ DỤNG QUÁ NGẮN, THIẾU CHI TIẾT.",3,4,,
129,Co ban huong dan su dung bang tieng Viet khong?,3,4,,
130,Tôi cần trợ giúp cài đặt bước đầu tiên.,3,4,,
131,Có hướng dẫn sử dụng online ko?,5,4,,
132,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,5,4,,
133,Có video hướng dẫn sử dụng không?,5,4,,
134,Tôi không biết cách điều chỉnh âm lượng.,3,4,,
135,Tôi không hiểu các nút chức năng trên máy.,5,4,,
136,Làm thế nào để reset thiết bị về mặc định?,3,4,,
137,Tôi muốn biết cách đăng ký tài khoản.,4,4,,
138,Tôi chưa rõ cách sử dụng chức năng chính.,4,4,,
139,Có nút nào để khôi phục cài đặt gốc không? 😭,4,4,,
140,Toi muon biet cach su dung chuc nang nang cao.,5,4,,
141,Tôi không tìm thấy mục cài đặt trên ứng dụng.,4,4,,
142,Sản phẩm có hỗ trợ nhiều ngôn ngữ không?,4,4,,
143,Có hướng dẫn sử dụng online không?,5,4,,
144,Lam sao de dong bo du lieu giua cac thiet bi? 👍,5,4,,
145,Ứng dụng có hoạt động trên iOS không?,5,4,,
146,Ứng dụng có hoạt động trên iOS không?,5,4,,
147,Có cần cập nhật firmware trước khi sử dụng không?,5,4,,
148,Sản phẩm có cần cài driver không?,4,4,,
149,Có bản demo sử dụng không?,5,4,,
150,Toikhongbietcachbatchedoantoan.,3,4,,
151,Có bản hướng dẫn in kèm sản phẩm kg?,3,4,,
152,Có cách nào sử dụng không cần ứng dụng không?,5,4,,
153,Toi muon biet cach su dung chuc nang nang cao.,3,4,,
154,Sản phẩm có cần cài driver không?,5,4,,
155,Lam the nao de reset thiet bi ve mac dinh? 😭,5,4,,
156,Co the su dung san pham khi dang sac khong?,4,4,,
157,Ứng dụng không hiển thị đúng như hướng dẫn.,4,4,,
158,Sản phẩm có hỗ trợ nhiều ngôn ngữ không?,5,4,,
159,Khong ro cach ket noi Bluetooth.,3,4,,
160,Toi khong tim thay phan huong dan bang hinh anh.,5,4,,
161,Tôi muốn biết cách sử dụng chức năng nâng cao.,4,4,,
162,Có thể kết nối thiết bị với tivi không?,5,4,,
163,Lam thE nAO De Reset ThIet BI ve mAc DinH?,5,4,,
164,Có bản hướng dẫn in kèm sản phẩm không?,3,4,,
165,Thiết bị có chế độ tiết kiệm pin không?,3,4,,
166,Tôi chưa rõ cách bật chế độ ban đêm.,3,4,,
167,Có nút nào để khôi phục cài đặt gốc không?,4,4,,
168,Tôi không biết cách bật chế độ an toàn.,5,4,,
169,Có cách nào sử dụng không cần ứng dụng không?,4,4,,
170,Có nút nào để khôi phục cài đặt gốc không?,4,4,,
171,CO caN Cap Nhat FiRMwarE truoC khI sU DuNg KhonG?,5,4,,
172,co cAn TaO TaI KhoAN MOi de SU DuNG kHoNG?,4,4,,
173,Tôi cần trợ giúp cài đặt bước đầu tiên.,5,4,,
174,Tôi không rõ cách thay pin cho thiết bị.,5,4,,
175,Tôi cần trợ giúp cài đặt bước đầu tiên.,3,4,,
176,Cónútnàođểkhôiphụccàiđặtgốckhông?,5,4,,
177,Có bản hướng dẫn sử dụng bằng tiếng Việt không?,4,4,,
178,Sản phẩm có cần cài driver không?,4,4,,
179,Tôi chưa rõ cách bật chế độ ban đêm.,4,4,,
180,Tôi không rõ cách thay pin cho thiết bị.,3,4,,
181,Làmthếnàođểresetthiếtbịvềmặcđịnh?,3,4,,
182,Có thể sử dụng sản phẩm khi đang sạc không?,5,4,,
183,Có bản demo sử dụng không?,5,4,,
184,Có cách nào sử dụng không cần ứng dụng không?,5,4,,
185,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,3,4,,
186,Có tài liệu PDF hướng dẫn không?,3,4,,
187,Hướng dẫn cài đặt phần mềm quá phức tạp.,5,4,,
188,Sản phẩm có hỗ trợ nhiều ngôn ngữ không?,4,4,,
189,Co BAn demo sU dUNG khOng?,4,4,,
190,Có cần tạo tài khoản mới để sử dụng không?,5,4,,
191,Có cần tạo tài khoản mới để sử dụng không?,4,4,,
192,Có bản hướng dẫn sử dụng bằng tiếng Việt không?,5,4,,
193,Có bản demo sử dụng ko? ạ,3,4,,
194,có thể Dùng CHUNG tàI khoảN chO nhIỀu thIết Bị Kg?,3,4,,
195,Toi gap kho khan khi bat nguon thiet bi.,3,4,,
196,Tôi muốn biết cách đăng ký tài khoản.,5,4,,
197,Tôi không hiểu các nút chức năng trên máy.,3,4,,
198,Toi can huong dan chi tiet tung buoc.,3,4,,
199,có bảN HƯớNg DẪN sỬ DỤNg bẰnG Tiếng viỆT KHÔNg?,3,4,,
200,HƯỚNGDẪNKGĐỀCẬPĐẾNCÁCHVỆSINHSP.,4,4,,
